# vx vy
-1.000035 -0.999807
-1.000197 -0.999669
-1.000221 -0.999924
-1.000095 -0.999872
-0.999819 -0.999902
-1.000116 -0.999800
-1.000057 -0.999851
-1.000156 -0.999865
-1.000474 -0.999770
-1.000107 -1.000564
-0.999870 -0.999784
-1.000041 -0.999924
-1.000131 -0.999819
-1.000065 -0.999808
-1.000141 -1.000049
-1.000249 -0.999792
-1.000101 -0.999901
-0.999970 -0.999903
-1.000070 -0.999938
-1.000198 -1.000043
-1.000226 -0.999716
-0.999976 -0.999878
-1.000085 -0.999826
-1.000136 -0.999880
-1.000187 -0.999836
-0.999989 -0.999903
-0.999839 -0.999828
-0.999997 -0.999805
-1.000040 -0.999739
-1.000010 -0.999893
-1.000446 -0.999518
-1.000150 -0.999443
-1.000080 -0.999983
-1.000153 -0.999790
-0.999739 -1.000288
-1.000119 -0.999960
-1.000008 -0.999931
-1.000092 -0.999754
-1.000644 -0.999977
-1.000060 -0.999798
-1.000171 -0.999883
-0.999912 -0.999976
-1.000442 -0.999954
-1.000222 -0.999995
-1.000009 -0.999827
-1.000126 -0.999794
-1.000593 -1.000071
-1.000073 -0.999734
-1.000520 -1.000347
-1.000087 -0.999637
-1.000113 -0.999671
-1.000104 -0.999776
-1.000003 -0.999919
-1.000145 -0.999965
-1.000382 -0.999881
-0.999985 -0.999877
-1.000000 -0.999856
-1.000044 -1.000019
-1.000102 -0.999887
-1.000032 -0.999857
-0.999745 -1.000245
-0.999961 -0.999849
-1.000061 -0.999935
-1.000159 -0.999877
-1.000196 -0.999828
-0.999970 -0.999824
-1.000085 -0.999944
-1.000040 -0.999974
-0.999997 -0.999776
-1.000007 -0.999785
-1.000033 -0.999897
-1.000025 -0.999953
-1.000304 -1.000054
-1.000175 -0.999997
-1.000346 -0.999536
-1.000653 -1.000028
-0.999990 -0.999664
-1.000102 -0.999800
-1.000018 -0.999751
-1.000123 -0.999985
-0.999994 -0.999839
-1.000059 -0.999752
-1.000111 -0.999980
-1.000154 -0.999957
-1.000122 -0.999930
-1.000285 -0.999990
-1.000036 -0.999940
-0.999890 -0.999936
-1.000203 -0.999867
-1.000065 -0.999800
