# vx vy
0.910560 0.908592
0.909641 0.914064
0.910680 0.911671
0.912732 0.914105
0.909662 0.908076
0.907814 0.914201
0.911913 0.912115
0.911503 0.909112
0.911561 0.912243
0.910885 0.910923
0.910362 0.912030
0.917941 0.905144
0.908381 0.912908
0.910534 0.910987
0.912406 0.911678
0.910811 0.911917
0.912414 0.914304
0.911369 0.911985
0.910804 0.911652
0.912390 0.915628
0.906361 0.910950
0.911532 0.917703
0.913062 0.911596
0.911062 0.911980
0.911244 0.914297
0.911910 0.914291
0.912082 0.910415
0.912303 0.912075
0.912174 0.912112
0.912018 0.911052
0.904135 0.908685
0.912754 0.912008
0.910713 0.912896
0.918894 0.908266
0.911947 0.912104
0.912568 0.911534
0.912441 0.914725
0.915322 0.914446
0.911711 0.910293
0.910682 0.911912
0.911116 0.911565
0.913086 0.912215
0.910827 0.910042
0.912622 0.912036
0.909292 0.910476
0.911297 0.915915
0.911571 0.910461
0.911862 0.911751
0.914768 0.912709
0.910342 0.911722
0.912609 0.914579
0.911716 0.910953
0.911052 0.910954
0.910830 0.911341
0.911557 0.910686
0.910972 0.911463
0.921445 0.900559
0.911274 0.911870
0.913302 0.914767
0.912180 0.911359
0.912010 0.911423
0.910713 0.911762
0.912052 0.912026
0.916427 0.909077
0.911371 0.912569
0.911685 0.910204
0.909651 0.912308
0.914907 0.907575
0.912122 0.912136
0.911335 0.910549
0.915851 0.914026
0.912357 0.914460
0.915901 0.906148
0.908658 0.909143
0.917612 0.907962
0.908590 0.908526
0.910719 0.911793
0.908436 0.909301
0.910769 0.910174
0.906324 0.908861
